"County","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Total"
"Barnstable",12,19,21,15,17,20,24,31,22,21,20,19,24,43,53,66,81,67,575
"Berkshire",2,3,1,2,6,9,1,8,3,8,4,9,18,22,29,33,38,27,223
"Bristol",38,58,66,84,72,78,85,64,84,70,79,82,95,116,146,168,246,243,1874
"Dukes",1,0,1,0,1,2,0,3,1,2,0,0,0,1,5,7,3,2,29
"Essex",51,65,55,81,68,80,87,89,65,74,51,57,94,119,209,231,278,310,2064
"Franklin",5,2,1,5,3,4,6,4,2,2,6,6,8,10,11,18,14,9,116
"Hampden",32,37,42,46,32,36,46,38,48,46,48,45,59,69,64,96,130,113,1027
"Hampshire",5,5,5,12,8,3,10,14,11,10,12,10,11,30,26,16,36,28,252
"Middlesex",64,86,92,115,105,122,118,110,112,124,94,130,122,155,273,331,412,358,2923
"Nantucket",0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,2,3,12
"Norfolk",29,42,44,43,40,53,49,54,73,65,60,64,71,83,127,161,215,170,1443
"Plymouth",23,25,29,47,28,38,49,52,48,53,41,67,57,86,110,166,191,206,1316
"Suffolk",49,87,98,106,83,66,107,103,74,95,64,85,91,111,145,193,245,257,2059
"Worcester",68,75,71,58,51,63,74,71,78,67,80,82,91,115,162,216,261,266,1949
"Total,Deaths",379,506,526,614,514,575,660,642,622,638,560,656,742,961,1362,1704,2154,2061,15876
